example_id                                             | status | run_time        |
./spec/routing/tunes_routing_spec.rb[1:1:5]            | passed | 0.00529 seconds |
./spec/routing/tunes_routing_spec.rb[1:1:6]            | passed | 0.00618 seconds |
./spec/routing/tunes_routing_spec.rb[1:1:7]            | passed | 0.00258 seconds |
./spec/routing/tunes_routing_spec.rb[1:1:8]            | passed | 0.00262 seconds |
./spec/routing/tunes_routing_spec.rb[1:1:9]            | passed | 0.00289 seconds |
./spec/routing/tunes_routing_spec.rb[1:1:10]           | passed | 0.00543 seconds |
./spec/views/tunes/edit.html.erb_spec.rb[1:1]          | passed | 0.02129 seconds |
./spec/views/tunes/index.html.erb_spec.rb[1:1:1]       | passed | 0.01403 seconds |
./spec/views/tunes/index.html.erb_spec.rb[1:1:2]       | passed | 0.01602 seconds |
./spec/views/tunes/index.html.erb_spec.rb[1:2:1]       | passed | 0.0203 seconds  |
./spec/views/tunes/index.html.erb_spec.rb[1:2:2]       | passed | 0.0127 seconds  |
./spec/views/tunes/index.html.erb_spec.rb[1:2:3]       | passed | 0.01404 seconds |
./spec/views/tunes/new.html.erb_spec.rb[1:1]           | passed | 0.02192 seconds |
./spec/views/tunes/new.html.erb_spec.rb[1:2:1]         | passed | 0.01718 seconds |
./spec/views/tunes/new.html.erb_spec.rb[1:2:2]         | passed | 0.01833 seconds |
./spec/views/tunes/new.html.erb_spec.rb[1:2:3]         | passed | 0.01217 seconds |
